block,semester,name,hours,load
Блок 1,,,48,1728
Блок 1,,Обязательные дисциплины. 1 семестр,3,108
Блок 1,1.0,Воркшоп по созданию продукта на данных / Data Product Development Workshop,3,108
Блок 1,,Пул выборных дисциплин. 1 семестр,15,540
Блок 1,1.0,Практика применения машинного обучения,6,216
Блок 1,1.0,Алгоритмы и структуры данных,3,108
Блок 1,1.0,Математическая статистика,3,108
Блок 1,1.0,Разработка веб-приложений (Python Backend),6,216
Блок 1,1.0,Программирование на С++,3,108
Блок 1,1.0,Введение в МО (Python) и Продвинутое МО (Python),3,108
Блок 1,1.0,Технологии обработки естественного языка,6,216
Блок 1,1.0,Автоматическое машинное обучение,3,108
Блок 1,1.0,Обработка и генерация изображений,3,108
Блок 1,1.0,Проектирование и разработка рекомендательных систем (продвинутый уровень),6,216
Блок 1,1.0,Основы глубокого обучения,3,108
Блок 1,1.0,Продвинутое МО (Python) и Глубокое обучение,3,108
Блок 1,1.0,Введение в большие языковые модели (LLM),3,108
Блок 1,1.0,Проектирование систем машинного обучения (ML System Design),6,216
Блок 1,1.0,Проектирование микросервисов,6,216
Блок 1,1.0,Хранение больших данных и Введение в МО (Python),3,108
Блок 1,1.0,Вычисления на графических процессорах (GPU),6,216
Блок 1,1.0,UNIX/Linux системы,3,108
Блок 1,1.0,Инструменты разработки data-driven решений,3,108
Блок 1,1.0,Контейнеризация и оркестрация приложений,3,108
Блок 1,1.0,Продуктовые исследования,3,108
Блок 1,1.0,Графические интерфейсы,3,108
Блок 1,1.0,Создание интеллектуальных агентов,6,216
Блок 1,1.0,Прикладной анализ временных рядов,3,108
Блок 1,1.0,Процессы и методологии разработки решений на основе ИИ,3,108
Блок 1,1.0,Инжиниринг управления данными,3,108
Блок 1,1.0,Бизнес-аналитика для инженеров,3,108
Блок 1,1.0,Математика для машинного обучения и анализа данных,3,108
Блок 1,1.0,Языки программирования,3,108
Блок 1,1.0,Основы машинного обучения,3,108
Блок 1,1.0,Инженерные практики в ML и анализе данных,6,216
Блок 1,1.0,Дополнительные разделы машинного обучения,3,108
Блок 1,1.0,Базы данных,3,108
Блок 1,,Пул выборных дисциплин. 2 семестр,12,432
Блок 1,2.0,Глубокое обучение на практике,6,216
Блок 1,2.0,Воркшоп по прикладному использованию языковых и генеративных моделей,6,216
Блок 1,2.0,Глубокие генеративные модели (Deep Generative Models),6,216
Блок 1,2.0,Дополнительные разделы математики и алгоритмов,3,108
Блок 1,2.0,Программирование на Python (продвинутый уровень),3,108
Блок 1,2.0,DevOps практики и инструменты,3,108
Блок 1,2.0,Технологии и практики MLOps,6,216
Блок 1,2.0,Продвинутое МО (Python) и Автоматическая обработка текстов,3,108
Блок 1,2.0,Продвинутое МО (Python) и Обработка изображений,3,108
Блок 1,2.0,Прикладная математика и статистика / Applied Math and Statistics,6,216
Блок 1,2.0,Автоматическая обработка текстов и Социальные сети,3,108
Блок 1,2.0,Специальные главы геномики,3,108
Блок 1,2.0,Специальные главы биоинформатики,3,108
Блок 1,2.0,Нейросети в химии / Neural Networks in Chemistry,3,108
Блок 1,2.0,Обучение с подкреплением,6,216
Блок 1,2.0,Интеллектуальные агенты и большие языковые модели,6,216
Блок 1,2.0,Разработка приложений разговорного искусственного интеллекта,3,108
Блок 1,2.0,Распознавание и генерация речи,3,108
Блок 1,2.0,Технологии обработки естественного языка,6,216
Блок 1,2.0,Компьютерное зрение (продвинутый уровень),6,216
Блок 1,2.0,Технологии компьютерного зрения,3,108
Блок 1,2.0,Обработка изображений и Компьютерное зрение,3,108
Блок 1,2.0,Автоматическая обработка текстов и Обработка изображений,3,108
Блок 1,2.0,А/В тестирование,3,108
Блок 1,2.0,Информационный поиск,3,108
Блок 1,2.0,Управление данными,3,108
Блок 1,2.0,Сбор и разметка данных для машинного обучения,3,108
Блок 1,2.0,Проектирование систем машинного обучения (ML System Design),6,216
Блок 1,2.0,Безопасность ИИ,3,108
Блок 1,2.0,Управление проектами в Data Science,3,108
Блок 1,2.0,Продуктовый дизайн и прототипирование AI-решений,3,108
Блок 1,2.0,Бизнес-анализ,3,108
Блок 1,2.0,Практики менторства и развития в Data Science,3,108
Блок 1,2.0,Основы построения рекомендательных систем,6,216
Блок 1,2.0,Инженерия данных,3,108
Блок 1,2.0,Системы обработки и анализа больших массивов данных,6,216
Блок 1,2.0,Управление технологическим продуктом,3,108
Блок 1,2.0,Языки программирования для работы с данными,3,108
Блок 1,2.0,Машинное обучение,3,108
Блок 1,2.0,Задачи машинного обучения,3,108
Блок 1,2.0,Обработка естественного языка,6,216
Блок 1,,Пул выборных дисциплин. 3 семестр,12,432
Блок 1,3.0,Алгоритмы и структуры данных,3,108
Блок 1,3.0,Математическая статистика,3,108
Блок 1,3.0,Прикладной анализ временных рядов,3,108
Блок 1,3.0,Разработка веб-приложений (Python Backend),6,216
Блок 1,3.0,Программирование на С++,3,108
Блок 1,3.0,Введение в МО (Python) и Продвинутое МО (Python),3,108
Блок 1,3.0,Технологии обработки естественного языка,6,216
Блок 1,3.0,Автоматическое машинное обучение,3,108
Блок 1,3.0,Обработка и генерация изображений,3,108
Блок 1,3.0,Проектирование и разработка рекомендательных систем (продвинутый уровень),6,216
Блок 1,3.0,Глубокое обучение,3,108
Блок 1,3.0,Продвинутое МО (Python) и Глубокое обучение,3,108
Блок 1,3.0,Введение в большие языковые модели (LLM),3,108
Блок 1,3.0,Мультимодальные генеративные модели искусственного интеллекта,3,108
Блок 1,3.0,Проектирование систем машинного обучения (ML System Design),6,216
Блок 1,3.0,Проектирование микросервисов,6,216
Блок 1,3.0,Хранение больших данных и Введение в МО (Python),3,108
Блок 1,3.0,Базы данных,3,108
Блок 1,3.0,Вычисления на графических процессорах (GPU),6,216
Блок 1,3.0,UNIX/Linux системы,3,108
Блок 1,3.0,Инструменты разработки data-driven решений,3,108
Блок 1,3.0,Контейнеризация и оркестрация приложений,3,108
Блок 1,3.0,Продуктовые исследования,3,108
Блок 1,3.0,Графические интерфейсы,3,108
Блок 1,3.0,Воркшоп по применению ИИ,6,216
Блок 1,3.0,Мастерская по проектам для работы с данными,6,216
Блок 1,3.0,Инжиниринг управления данными,3,108
Блок 1,3.0,Прикладная математика для машинного обучения,3,108
Блок 1,3.0,Языки программирования. Продвинутый уровень,3,108
Блок 1,3.0,Продвинутое машинное обучение,3,108
Блок 1,3.0,Прикладные задачи машинного обучения,3,108
Блок 1,3.0,Бизнес-аналитика,3,108
Блок 1,3.0,Прикладные инструменты разработки,6,216
Блок 1,3.0,Процессы и методологии разработки решений на основе ИИ,3,108
Блок 1,,Пул выборных дисциплин. 4 семестр,6,216
Блок 1,4.0,Воркшоп по прикладному использованию языковых и генеративных моделей,6,216
Блок 1,4.0,Глубокие генеративные модели (Deep Generative Models),6,216
Блок 1,4.0,Дополнительные разделы математики и алгоритмов,3,108
Блок 1,4.0,Программирование на Python (продвинутый уровень),3,108
Блок 1,4.0,DevOps практики и инструменты,3,108
Блок 1,4.0,Технологии и практики MLOps,6,216
Блок 1,4.0,Продвинутое МО (Python) и Автоматическая обработка текстов,3,108
Блок 1,4.0,Продвинутое МО (Python) и Обработка изображений,3,108
Блок 1,4.0,Прикладная математика и статистика / Applied Math and Statistics,6,216
Блок 1,4.0,Автоматическая обработка текстов и Социальные сети,3,108
Блок 1,4.0,Специальные главы геномики,3,108
Блок 1,4.0,Специальные главы биоинформатики,3,108
Блок 1,4.0,Нейросети в химии / Neural Networks in Chemistry,3,108
Блок 1,4.0,Обучение с подкреплением,6,216
Блок 1,4.0,Интеллектуальные агенты и большие языковые модели,6,216
Блок 1,4.0,Разработка приложений разговорного искусственного интеллекта,3,108
Блок 1,4.0,Распознавание и генерация речи,3,108
Блок 1,4.0,Технологии обработки естественного языка,6,216
Блок 1,4.0,Компьютерное зрение (продвинутый уровень),6,216
Блок 1,4.0,Технологии компьютерного зрения,3,108
Блок 1,4.0,Обработка изображений и Компьютерное зрение,3,108
Блок 1,4.0,Автоматическая обработка текстов и Обработка изображений,3,108
Блок 1,4.0,А/В тестирование,3,108
Блок 1,4.0,Основы построения рекомендательных систем,6,216
Блок 1,4.0,Управление данными,3,108
Блок 1,4.0,Инженерия данных,3,108
Блок 1,4.0,Сбор и разметка данных для машинного обучения,3,108
Блок 1,4.0,Системы обработки и анализа больших массивов данных,6,216
Блок 1,4.0,Проектирование систем машинного обучения (ML System Design),6,216
Блок 1,4.0,Безопасность ИИ,3,108
Блок 1,4.0,Управление проектами в Data Science,3,108
Блок 1,4.0,Продуктовый дизайн и прототипирование AI-решений,3,108
Блок 1,4.0,Практики менторства и развития в Data Science,3,108
Блок 1,4.0,Бизнес-анализ,3,108
Блок 1,4.0,Информационный поиск,3,108
Блок 1,4.0,Воркшоп по ML,6,216
Блок 1,4.0,Языки программирования для работы с данными. Продвинутый уровень,3,108
Блок 1,4.0,Продвинутое машинное обучение - дополнительные главы,3,108
Блок 1,4.0,Применение машинного обучения в доменных областях,3,108
Блок 1,4.0,Глубокое обучение и обработка естественного языка,6,216
Блок 1,4.0,Управление технологическим продуктом,3,108
Блок 1,,Универсальная (надпрофессиональная) подготовка,12,432
Блок 1,,Магистратура/Аспирантура ИИ,9,324
Блок 1,,Мировоззренческий модуль + иняз,9,324
Блок 1,,Иностранный язык,6,216
Блок 1,,Иностранный язык 2 сем,3,108
Блок 1,2.0,Английский язык в профессиональной деятельности / English for specific purposes,3,108
Блок 1,2.0,Русский язык как иностранный / Russian as a foreign language,3,108
Блок 1,2.0,Английский язык A2 / English A2,3,108
Блок 1,2.0,Английский язык A1 / English A1,3,108
Блок 1,,Иностранный язык 1 сем,3,108
Блок 1,1.0,Русский язык как иностранный / Russian as a foreign language,3,108
Блок 1,1.0,Английский язык в профессиональной деятельности / English for specific purposes,3,108
Блок 1,1.0,Английский язык A2 / English A2,3,108
Блок 1,1.0,Английский язык A1 / English A1,3,108
Блок 1,,Мировоззренческий модуль,3,108
Блок 1,,Предпринимательская культура,3,108
Блок 1,3.0,Стартап-трек: от mvp до бизнеса,3,108
Блок 1,3.0,Создание и развитие технологического бизнеса,3,108
Блок 1,,Креативные технологии,3,108
Блок 1,1.0,Основы концептуального мышления / Introduction to Conceptual Thinking,3,108
Блок 1,1.0,Основы концептуального мышления,3,108
Блок 1,,Мышление,3,108
Блок 1,3.0,Критическое мышление (продвинутый уровень),3,108
Блок 1,3.0,Навыки критического мышления (продвинутый уровень) / Critical Thinking Skills (advanced),3,108
Блок 1,3.0,Этика в сфере информационных технологий и искусственного интеллекта,3,108
Блок 1,,Аспирантский трек,9,324
Блок 1,,История и философия науки,3,108
Блок 1,3.0,История и философия науки,3,108
Блок 1,,Иностранный язык,6,216
Блок 1,1.0,Иностранный язык / Foreign Language,3,108
Блок 1,2.0,Иностранный язык / Foreign Language,3,108
Блок 1,,Микромодули Soft Skills (1-3 семестры),3,108
Блок 1,1.0,Элективные микромодули Soft Skills,3,108
Блок 1,2.0,Элективные микромодули Soft Skills,3,108
Блок 1,3.0,Элективные микромодули Soft Skills,3,108
Блок 2,,Обязательная проектная практика,18,648
Блок 2,1.0,Проектная практика,12,432
Блок 2,4.0,"Производственная, преддипломная практика",6,216
Блок 2,,Практика по выбору. 2 семестр,12,432
Блок 2,2.0,Проектная практика,12,432
Блок 2,2.0,Научно-исследовательская практика,12,432
Блок 2,,Практика по выбору. 3 семестр,12,432
Блок 2,3.0,Производственная проектно-технологическая практика,12,432
Блок 2,3.0,"Производственная, научно-исследовательская практика",12,432
Блок 2,,Практика по выбору. 4 семестр,12,432
Блок 2,4.0,Проектная работа,12,432
Блок 2,4.0,Научно-исследовательская работа,12,432
Блок 3,,Государственная итоговая аттестация,6,216
Блок 3,4.0,Подготовка к защите и защита ВКР,6,216
Блок 4,,Иностранный язык в профессиональной деятельности (аспирантский трек),4,144
Блок 4,3.0,Иностранный язык в профессиональной деятельности / Foreign Language for Professional activity,4,144
Блок 4,,Инклюзивный факультатив,0,0
Блок 4,1.0,Регуляция эмоционального состояния в профессиональной деятельности,3,108
Блок 4,,"Элективные микромодули Soft Skills (1-3 семестры, онлайн)",0,0
Блок 4,1.0,Управление мотивацией,1,36
Блок 4,2.0,Управление мотивацией,1,36
Блок 4,3.0,Управление мотивацией,1,36
Блок 4,1.0,Инструменты принятия решений / Art & math of decision making,1,36
Блок 4,2.0,Инструменты принятия решений / Art & math of decision making,1,36
Блок 4,3.0,Инструменты принятия решений / Art & math of decision making,1,36
Блок 4,1.0,Медиация и урегулирование разногласий / Mediation and dispute resolutio,1,36
Блок 4,2.0,Медиация и урегулирование разногласий / Mediation and dispute resolutio,1,36
Блок 4,3.0,Медиация и урегулирование разногласий / Mediation and dispute resolutio,1,36
Блок 4,1.0,Развитие карьеры в современной профессиональной среде,1,36
Блок 4,2.0,Развитие карьеры в современной профессиональной среде,1,36
Блок 4,3.0,Развитие карьеры в современной профессиональной среде,1,36
Блок 4,1.0,Выступления для молодых ученых,1,36
Блок 4,2.0,Выступления для молодых ученых,1,36
Блок 4,3.0,Выступления для молодых ученых,1,36
Блок 4,1.0,Самопрезентация и питчинг,1,36
Блок 4,2.0,Самопрезентация и питчинг,1,36
Блок 4,3.0,Самопрезентация и питчинг,1,36
Блок 4,1.0,Современное лидерство,1,36
Блок 4,2.0,Современное лидерство,1,36
Блок 4,3.0,Современное лидерство,1,36
Блок 4,1.0,Межкультурная коммуникация,1,36
Блок 4,2.0,Межкультурная коммуникация,1,36
Блок 4,3.0,Межкультурная коммуникация,1,36
Блок 4,1.0,Работа в удаленных командах,1,36
Блок 4,2.0,Работа в удаленных командах,1,36
Блок 4,3.0,Работа в удаленных командах,1,36
Блок 4,1.0,Публичные выступления в онлайн-формате,1,36
Блок 4,2.0,Публичные выступления в онлайн-формате,1,36
Блок 4,3.0,Публичные выступления в онлайн-формате,1,36
Блок 4,1.0,Техники ответов на вопросы в публичных выступлениях,1,36
Блок 4,2.0,Техники ответов на вопросы в публичных выступлениях,1,36
Блок 4,3.0,Техники ответов на вопросы в публичных выступлениях,1,36
Блок 4,1.0,Публичные выступления в профессиональной деятельности / Pitches and speeches,1,36
Блок 4,2.0,Публичные выступления в профессиональной деятельности / Pitches and speeches,1,36
Блок 4,3.0,Публичные выступления в профессиональной деятельности / Pitches and speeches,1,36
Блок 4,1.0,Доказательный подход к управлению карьерой / Evidence-based approach to career management,1,36
Блок 4,2.0,Доказательный подход к управлению карьерой / Evidence-based approach to career management,1,36
Блок 4,3.0,Доказательный подход к управлению карьерой / Evidence-based approach to career management,1,36
Блок 4,1.0,Планирование и изменение карьерной траектории / Launching and relaunching your career,1,36
Блок 4,2.0,Планирование и изменение карьерной траектории / Launching and relaunching your career,1,36
Блок 4,3.0,Планирование и изменение карьерной траектории / Launching and relaunching your career,1,36
Блок 4,1.0,Основы публичных выступлений,1,36
Блок 4,2.0,Основы публичных выступлений,1,36
Блок 4,3.0,Основы публичных выступлений,1,36
Блок 4,1.0,Сторителлинг,1,36
Блок 4,2.0,Сторителлинг,1,36
Блок 4,3.0,Сторителлинг,1,36
Блок 4,1.0,Стратегии эффективных переговоров с работодателем,1,36
Блок 4,2.0,Стратегии эффективных переговоров с работодателем,1,36
Блок 4,3.0,Стратегии эффективных переговоров с работодателем,1,36
Блок 4,1.0,Управление стрессом / Stress management,1,36
Блок 4,2.0,Управление стрессом / Stress management,1,36
Блок 4,3.0,Управление стрессом / Stress management,1,36
Блок 4,1.0,Практики совместной работы и принятия решений,1,36
Блок 4,2.0,Практики совместной работы и принятия решений,1,36
Блок 4,3.0,Практики совместной работы и принятия решений,1,36
Блок 4,1.0,Сложная коммуникация,1,36
Блок 4,2.0,Сложная коммуникация,1,36
Блок 4,3.0,Сложная коммуникация,1,36
Блок 4,1.0,Основы финансовой грамотности,1,36
Блок 4,2.0,Основы финансовой грамотности,1,36
Блок 4,3.0,Основы финансовой грамотности,1,36
Блок 4,1.0,Целеполагание в современном мире,1,36
Блок 4,2.0,Целеполагание в современном мире,1,36
Блок 4,3.0,Целеполагание в современном мире,1,36
Блок 4,1.0,Управление стрессом и профилактика выгорания,1,36
Блок 4,2.0,Управление стрессом и профилактика выгорания,1,36
Блок 4,3.0,Управление стрессом и профилактика выгорания,1,36
Блок 4,1.0,Тайм-менеджмент,1,36
Блок 4,2.0,Тайм-менеджмент,1,36
Блок 4,3.0,Тайм-менеджмент,1,36
Блок 4,1.0,Управление конфликтами,1,36
Блок 4,2.0,Управление конфликтами,1,36
Блок 4,3.0,Управление конфликтами,1,36
Блок 4,1.0,Современная бизнес-коммуникация,1,36
Блок 4,2.0,Современная бизнес-коммуникация,1,36
Блок 4,3.0,Современная бизнес-коммуникация,1,36
Блок 4,1.0,Карьера в IT,1,36
Блок 4,2.0,Карьера в IT,1,36
Блок 4,3.0,Карьера в IT,1,36
Блок 4,1.0,Эмпатичная коммуникация / Empathetic communication,1,36
Блок 4,2.0,Эмпатичная коммуникация / Empathetic communication,1,36
Блок 4,3.0,Эмпатичная коммуникация / Empathetic communication,1,36
